name,alt_name,ref_names,ra,ra_error,ref_ra,dec,dec_error,ref_dec,pm_ra,pm_ra_error,ref_pm_ra,pm_dec,pm_dec_error,ref_pm_dec,parallax,parallax_error,ref_parallax,position_epoch,lii,bii,period,period_error,ref_period,period_dot,period_dot_error,ref_period_dot,nu,nu_error,ref_nu,nu_dot,nu_dot_error,ref_nu_dot,nu_dot_2,nu_dot_2_error,ref_nu_dot_2,nu_dot_3,nu_dot_3_error,ref_nu_dot_3,period_epoch,dm,dm_error,ref_dm,dm_dot,dm_dot_error,ref_dm_dot,rm,rm_error,ref_rm,pulse_width_50,ref_pulse_width_50,pulse_width_10,ref_pulse_width_10,tau_scattering,ref_tau_scattering,flux_400_mhz,flux_400_mhz_error,ref_flux_400_mhz,flux_1400_mhz,flux_1400_mhz_error,ref_flux_1400_mhz,flux_2000_mhz,flux_2000_mhz_error,ref_flux_2000_mhz,flux_600_mhz,flux_600_mhz_error,ref_flux_600_mhz,flux_700_mhz,flux_700_mhz_error,ref_flux_700_mhz,flux_800_mhz,flux_800_mhz_error,ref_flux_800_mhz,flux_900_mhz,flux_900_mhz_error,ref_flux_900_mhz,flux_1600_mhz,flux_1600_mhz_error,ref_flux_1600_mhz,flux_3000_mhz,flux_3000_mhz_error,ref_flux_3000_mhz,spect_index,spect_index_error,ref_spect_index,binary_model,t0,t0_error,ref_t0,period_bin,period_bin_error,ref_period_bin,a1,a1_error,ref_a1,omega,omega_error,ref_omega,eccentricity,eccentricity_error,ref_eccentricity,epoch_asc,epoch_asc_error,ref_epoch_asc,epsilon_1,epsilon_1_error,ref_epsilon_1,epsilon_2,epsilon_2_error,ref_epsilon_2,min_mass,median_mass,companion_type,ref_companion_type,mass_ratio,mass_ratio_error,ref_mass_ratio,omega_asc,omega_asc_error,ref_omega_asc,distance,dm_distance_limit,dm_distance,dm_sin_bii,z_distance,x_distance,y_distance,assoc_object,discovery_survey,discovery_date,pulsar_type,ref_pulsar_type,number_glitches,luminosity_400_mhz,luminosity_1400_mhz,age,b_surf,e_dot,e_dot_d2,pm_tot,pm_tot_error,transverse_velocity,corr_period_dot,corr_age,corr_b_surf,b_lc,class
PSR J0243+6027,,hrk+08,40.75,0,hrk+08,60.45,0,hrk+08,,,,,,,,,,54100,136.27089116,0.5001702,1.473,0,hrk+08,,,,0.678887,0,hrk+08,,,,,,,,,,54100,141,0.4,mss+20,,,,,,,36,mss+20,82,mss+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.717,,2.717,1.23,0.024,1.878,10.463,,"gbt350,gbncc",2008,R,,,,,,,,,,0,,,,,,1800
PSR J2302+6028,,snt97,345.54666667,8.3e-05,snt97,60.46672778,2.2e-05,snt97,,,,,,,,,,49800,109.85934581,0.39795195,1.20640428819,2e-11,snt97,2.04e-15,3e-18,snt97,0.828909520456,1.4e-11,snt97,-1.402e-15,3e-18,snt97,,,,,,,49800,156.7,0.1,snt97,,,,-129.7,0.8,hmvd18,20,mss+20,36,mss+20,,,12,1,snt97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.166,,3.166,1.09,0.022,2.978,9.576,,"gb4,gbncc,lotaas",1997,R,,,120.28,,9370000,1590000000000,4.6e+31,4.6e+30,,0,,,,,8.48,1800
PSR J0033+61,,hrk+08,8.25,0,hrk+08,61,0,hrk+08,,,,,,,,,,54100,120.69794931,-1.79174789,0.912,0,hrk+08,,,,1.096491,0,hrk+08,,,,,,,,,,54100,37.7,0.3,mss+20,,,,,,,16,mss+20,26,mss+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.654,,1.654,-1.18,-0.052,1.422,9.344,,"gbt350,gbncc,lotaas",2008,R,,,,,,,,,,0,,,,,,1800
PSR J2326+6141,,hrk+08,351.5,0,hrk+08,61,0,hrk+08,,,,,,,,,,54100,112.76145641,-0.17337313,0.79,0,hrk+08,,,,1.265823,0,hrk+08,,,,,,,,,,54100,34.5,0.2,mss+20,,,,,,,26,mss+20,46,mss+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.695,,1.695,-0.1,-0.005,1.563,9.156,,"gbt350,gbncc,lotaas",2008,R,,,,,,,,,,0,,,,,,1800
PSR J0925+6103,,mzl+23,141.32310458,8.3e-07,mzl+23,61.05114,1.1e-06,mzl+23,,,,,,,,,,59505,153.50633906,41.83303895,0.005982512892605,6e-15,mzl+23,1.614e-20,1.5e-22,mzl+23,167.15383952386,1.5e-10,mzl+23,-4.51e-16,4e-18,mzl+23,,,,,,,59505.003027,21.6442,0.0011,mzl+23,,,,-18.28,0.13,mzl+23,,,,,,,,,,0.2,0.06,mzl+23,,,,,,,,,,,,,,,,,,,,,,,,,ELL1,58688.7741838,6e-07,mzl+23,2.452162593,3e-09,mzl+23,1.759392,3e-06,mzl+23,309,0,mzl+23,6.4e-06,0,mzl+23,,,,-5e-06,2e-06,mzl+23,4e-06,3e-06,mzl+23,0.128584,0.1499,,,,,,309,0,mzl+23,1.976,,1.976,14.44,1.318,0.657,9.818,,fast_crafts,2023,R,,,,0.78,5870000000,314000000,3e+33,7.6e+32,,0,,,,,13800,1800
PSR J0417+61,,slr+14,64.25,0.75,slr+14,61.13333333,0.3,slr+14,,,,,,,,,,56292,145.29887741,7.53967747,0.440283,1.3e-05,slr+14,,,,2.27127,7e-05,slr+14,,,,,,,,,,56292,70.14,0.11,mss+20,,,,,,,19,mss+20,38,mss+20,,,1.5,,slr+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.837,,1.837,9.2,0.241,1.037,9.997,,gbncc,2014,R,,,5.06,,,,,,,0,,,,,,1800
PSR J0415+6111,,flm+23,63.96502917,2.4e-05,msk+24,61.19772778,2e-05,msk+24,,,,,,,,,,58506,145.1544176,7.48944286,0.440189416055,4e-12,msk+24,5.013e-17,4e-20,msk+24,2.27174930502,2e-11,msk+24,-2.587e-16,2e-19,msk+24,,,,,,,58506,70.8,0.1,flm+23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.845,,1.845,9.23,0.24,1.045,10.001,,"misc,gbncc",2023,R,,,,,139000000,150000000000,2.3e+31,6.8e+30,,0,,,,,16.5,1800
PSR J2326+6113,PSR B2324+60,dls73,351.74457083,1e-05,hlk+04,61.22679667,5e-06,hlk+04,-17,5,,-9,5,,,,,49678,112.94641013,0.00322637,0.2336519694946,3e-13,hlk+04,3.525632e-16,1.7e-21,hlk+04,4.279869765973,4e-12,hlk+04,-6.458e-15,3e-20,hlk+04,2.9e-27,6e-28,hlk+04,,,,49678,122.613,0.005,hlk+04,,,,-220.7,0.3,fdr15,14.7,lylg95,22.9,lylg95,,,17,1,lylg95,4.4,0.9,lylg95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.733,,2.733,0.01,0,2.517,9.566,,"jb1,gb1,gb2,gb3,gbncc,lotaas",1973,R,,,126.98,32.86,10500000,290000000000,1.1e+33,1.5e+32,19,5,245.84,3.52e-16,10500000,290000000000,213,1800
PSR J2229+6114,,hcg+01,337.272,0.00029,hcg+01,61.23591667,0.00014,hcg+01,,,,,,,,,,55555,106.64749227,2.94867413,0.05164758740,1.9e-10,saa+23,7.73871e-14,1.1e-18,saa+23,19.36198863,7e-08,saa+23,-2.90114e-11,4e-16,saa+23,,,,,,,55555,205.1,0.013,mss+20,,,,-187,3,npn+20,4,hcg+01,18,mss+20,,,1.5,,slr+14,0.25,,hcg+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5.048,10.55,0.154,2.87,9.358,"GRS:4FGL_J2229.0+6114[aab+22],SNR:G106.6+2.9[aab+15],PWN:G106.6+2.9[aaa+20a]","misc,FermiBlind,gbncc",2001,HE,aaa+09i,7,13.5,2.25,10600,2020000000000,2.2e+37,2.5e+36,,0,,,,,138000,1810
PSR J0058+6125,,hrk+08,14.5,0,hrk+08,61.41666667,0,hrk+08,,,,,,,,,,54100,123.71696922,-1.44507913,0.637,0,hrk+08,,,,1.569859,0,hrk+08,,,,,,,,,,54100,128.3,0.2,mss+20,,,,-212,2,npn+20,7.8,mss+20,17,mss+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.597,,2.597,-3.24,-0.065,2.159,9.941,,"gbt350,gbncc",2008,R,,,,,,,,,,0,,,,,,1800
